Date,qsif Hybrid Long-Short Fund,Altiva Hybrid LongShort Fund ,qsif Equity Long Short Fund ,qsif Equity ExTop 100 LongShort Fund,iSIF Hybrid LongShort Fund ,iSIF Equity ExTop 100 LongShort Fund ,Titanium Hybrid LongShort Fund ,Magnum Hybrid Long Short Fund,Arudha Equity LongShort Fund,Arudha Hybrid LongShort Fund,Diviniti Equity Long Short Fund,DynaSIF Active Asset Allocator LongShort Fund,DynaSIF Equity Long Short Fund,Nifty 50,Sensex
21-04-2026,10.3036,10.4665,9.8909,9.7128,10.1313,9.95,10.0235,10.1632,10.315,10.151,966.381,10.1774,10.3677,25763.34961,83978.49219
20-04-2026,10.2752,10.4548,9.7865,9.6206,10.0693,9.89,9.9863,10.1586,10.284,10.153,962.667,10.1788,10.3096,25597.65039,83459.14844
17-04-2026,10.2642,10.4456,9.782,9.6333,10.0429,9.89,9.982,10.1476,10.271,10.144,963.1395,10.1439,10.3176,25509.69922,83311.00781
16-04-2026,10.2237,10.4346,9.6915,9.5526,9.9784,9.81,9.9613,10.1297,10.247,10.145,961.6001,10.1239,10.2105,25492.30078,83216.28125
15-04-2026,10.1841,10.4299,9.629,9.444,9.9634,9.76,9.9618,10.1353,10.253,10.143,963.9841,10.0578,10.1412,25574.34961,83535.35156
13-04-2026,10.1844,10.4026,9.5594,9.2645,9.8193,9.61,9.8626,10.0945,10.158,10.126,957.4157,10.1001,9.9589,25694.94922,83871.32031
10-04-2026,10.1911,10.404,9.6045,9.2789,9.88,9.64,9.8828,10.1068,10.17,10.125,959.5018,10.0804,10.0383,25875.80078,84466.50781
09-04-2026,10.0816,10.384,9.4499,9.1105,9.7654,9.54,9.8012,10.0746,10.133,10.113,956.3039,10.1001,9.9406,25879.15039,84478.67188
08-04-2026,10.0273,10.3842,9.458,9.1157,9.8044,9.57,9.8251,10.081,10.151,10.108,962.5652,10.0332,9.9497,25910.05078,84562.78125
07-04-2026,9.9279,10.2889,9.1817,8.8854,9.4903,9.31,9.6077,10.0025,10.008,10.092,953.1011,10.0316,9.7367,26013.44922,84950.95313
06-04-2026,9.8879,10.2697,9.1473,8.8418,9.4754,9.28,9.5813,9.9834,9.959,10.083,948.8272,10.0063,9.718,25910.05078,84673.02344
02-04-2026,9.8559,10.2356,9.0718,8.7758,9.3745,9.2,9.5246,9.9759,9.902,10.087,948.4573,10.0192,9.6301,26052.65039,85186.46875
01-04-2026,9.8523,10.1757,9.1001,8.7933,9.2304,9.02,9.5111,9.9611,9.89,10.091,946.0671,10.0188,9.659,26192.15039,85632.67969
31-03-2026,9.777,10.2222,8.9277,8.6082,9.2301,9.02,9.4106,9.9609,9.827,10.09,948.4515,,9.5681,26068.15039,85231.92188
30-03-2026,9.7769,10.2578,8.9276,8.608,9.3636,9.2,9.41,10.0108,9.826,10.083,948.4589,,9.568,25959.5,84900.71094
27-03-2026,9.8188,10.2099,9.1115,8.7664,9.5203,9.34,9.5417,10.0583,,10.08,950.7078,,9.6953,25884.80078,84587.00781
25-03-2026,9.851,10.14,9.227,8.8931,9.3801,9.19,9.667,10.0162,,10.076,953.7149,,9.8219,26205.30078,85609.50781
24-03-2026,9.8083,10.2404,9.1091,8.7637,9.2346,9.04,9.5452,9.9889,,10.08,952.3797,,9.7204,26215.55078,85720.38281
23-03-2026,9.7149,10.219,8.9649,8.6254,9.4339,9.27,9.4448,10.0313,,10.087,952.3612,,9.6261,26202.94922,85706.67188
20-03-2026,9.7986,10.297,9.2257,8.8836,9.4037,9.24,9.6245,10.0124,,10.088,952.5235,,9.79,26175.75,85641.89844
19-03-2026,9.771,10.2525,9.2014,8.8205,9.616,9.45,9.6106,10.0604,,10.08,950.1476,,9.7528,26032.19922,85138.27344
18-03-2026,9.8661,10.218,9.4304,9.0407,9.5121,9.33,9.7837,10.0409,,10.08,960.5362,,9.8877,25986,85106.8125
17-03-2026,9.7996,10.2106,9.3453,8.9191,9.4448,9.29,9.7216,10.0376,,10.081,961.5486,,9.8304,26033.75,85265.32031
16-03-2026,9.7877,10.249,9.321,8.8703,9.3738,9.28,9.6697,10.0373,,10.079,961.0704,,9.7819,26186.44922,85712.36719
13-03-2026,9.7804,10.2635,9.2803,8.8657,9.5322,9.42,9.6332,10.0613,,10.091,960.9396,,9.7797,25960.55078,85102.6875
12-03-2026,9.8119,10.293,9.3727,8.9871,9.6146,9.47,9.7545,10.0808,,10.077,959.6419,,9.8928,25839.65039,84666.28125
11-03-2026,9.823,10.2577,9.417,9.0188,9.7216,9.56,9.8115,10.0936,,10.076,959.1716,,9.9227,25758,84391.27344
10-03-2026,9.8395,10.3024,9.5143,9.0657,9.6143,9.47,9.8769,10.0812,,10.086,960.6158,,9.9903,25898.55078,84818.13281
09-03-2026,9.7803,10.3219,9.3712,8.9149,9.7451,9.6,9.8043,10.1172,,10.081,960.3937,,9.9105,26046.94922,85267.65625
06-03-2026,9.8207,10.2891,9.4911,9.0203,9.8315,9.69,9.9065,10.129,,10.077,964.4974,,9.994,26027.30078,85213.35938
05-03-2026,9.7833,10.3291,9.586,9.0742,9.7529,9.61,9.97,10.1009,,10.083,966.7974,,10.0325,25860.09961,84679.85938
04-03-2026,9.8207,10.3426,9.5767,9.0669,9.8495,9.73,9.9253,10.1597,,10.078,964.6415,,10.0036,25818.55078,84559.64844
02-03-2026,9.8366,10.3522,9.7281,9.184,9.9585,9.87,10.0279,10.1871,,10.078,970.2352,,10.0103,25815.55078,84481.8125
27-02-2026,9.8736,10.3427,9.8056,9.3161,10.0249,9.97,10.1052,10.2225,,10.076,977.6434,,10.0072,25966.40039,84929.35938
26-02-2026,9.8797,10.3332,9.8908,9.4049,10.0275,9.95,10.1701,10.2215,,10.07,985.8724,,,26172.40039,85567.47656
25-02-2026,9.8665,10.346,9.8703,9.3818,9.9775,9.9,10.1576,10.2088,,10.071,984.8663,,,26177.15039,85524.84375
24-02-2026,9.8396,10.3561,9.8367,9.3365,10.0442,9.98,10.1419,10.2298,,10.064,984.6694,,,26142.09961,85408.70313
23-02-2026,9.8329,10.353,9.8499,9.3741,10.0226,9.96,10.1625,10.2135,,10.063,991.1304,,,26042.30078,85041.45313
20-02-2026,9.8535,10.36,9.8215,9.4294,10.0018,9.94,10.1285,10.2083,,10.066,987.1805,,,25942.09961,84695.53906
